model,category,n,mae,rmse,mean_y_true,mean_y_pred
Full Model,capital_issuance,379,0.009573674133833213,0.013036359911266792,0.021437186387792614,0.017886851434036937
Full Model,debt_bond,700,0.007739944843683738,0.010925742996334,0.019476589809970087,0.016242672324285716
Full Model,dividend,173,0.007618846622953072,0.010436709329561073,0.018287920546475645,0.015590483049132948
Full Model,earnings,633,0.008945045412910815,0.011237859537577784,0.021568738565946426,0.02045519553791469
Full Model,leadership,948,0.009094800707407221,0.011735138755702194,0.020674533165503984,0.01742388298575949
Full Model,legal_regulatory,86,0.009559343713676463,0.012406917248250994,0.019644310697913125,0.018063616970930226
Full Model,ma_ownership,261,0.010323676093156002,0.013966083856748277,0.02386556841946877,0.0186939443697318
Full Model,market_industry,108,0.01270673260809619,0.018525432584365027,0.026372363135494518,0.016880445282407407
Full Model,other,3347,0.008966150908074847,0.011886863672577118,0.021586945856074596,0.018234267178966236
Full Model,project_contract,92,0.010757402923360604,0.015505289326995483,0.022102851370025545,0.016720723375
GNN + News,capital_issuance,379,0.00943916991856729,0.01300206840071254,0.021437186387792614,0.017385748437994723
GNN + News,debt_bond,700,0.00792339699717724,0.011137063947855576,0.019476589809970087,0.015808380495
GNN + News,dividend,173,0.00745413313350482,0.010473604559347765,0.018287920546475645,0.015090929835260116
GNN + News,earnings,633,0.008896009761879074,0.011279845445271892,0.021568738565946426,0.019959409003949446
GNN + News,leadership,948,0.009039454404759386,0.011566499376268703,0.020674533165503984,0.01741096402848101
GNN + News,legal_regulatory,86,0.010098522737195382,0.012804687408216518,0.019644310697913125,0.017831038720930236
GNN + News,ma_ownership,261,0.010432445294158727,0.014146928871590223,0.02386556841946877,0.018297680425287354
GNN + News,market_industry,108,0.01320811915764283,0.01884389600270936,0.026372363135494518,0.015777354309259257
GNN + News,other,3347,0.009036356031150735,0.011948034932767722,0.021586945856074596,0.018141581474096204
GNN + News,project_contract,92,0.011384380585184237,0.015644502372516647,0.022102851370025545,0.017758905364130436
GNN + Relationship,capital_issuance,379,0.009746598806551663,0.013174683496429472,0.021437186387792614,0.018048921745382585
GNN + Relationship,debt_bond,700,0.008114172022334679,0.011527059482375994,0.019476589809970087,0.014795717646428572
GNN + Relationship,dividend,173,0.007726347223423278,0.010207984738690893,0.018287920546475645,0.01719921676300578
GNN + Relationship,earnings,633,0.008895986489097103,0.011479099523059769,0.021568738565946426,0.018697387773301738
GNN + Relationship,leadership,948,0.009093713033068022,0.011728074556111943,0.020674533165503984,0.017290550010548526
GNN + Relationship,legal_regulatory,86,0.00985185284221626,0.012474875940954689,0.019644310697913125,0.01806068067674418
GNN + Relationship,ma_ownership,261,0.010242744416148553,0.0138519842787748,0.02386556841946877,0.018547638377394638
GNN + Relationship,market_industry,108,0.012552337150960961,0.017988103228205165,0.026372363135494518,0.01862451390277778
GNN + Relationship,other,3347,0.00905214611907727,0.01200997791686689,0.021586945856074596,0.018126863761129368
GNN + Relationship,project_contract,92,0.010944450084255621,0.015141221055567877,0.022102851370025545,0.0181090422826087
GNN Correlation Only,capital_issuance,758,0.009536229193390344,0.013076820982225108,0.021437186387792614,0.01752180983443272
GNN Correlation Only,debt_bond,1400,0.00806416666988823,0.011493057169137165,0.019476589809970087,0.014540074817500002
GNN Correlation Only,dividend,346,0.007468535064292357,0.010065184803299286,0.018287920546475645,0.016598959001445087
GNN Correlation Only,earnings,1266,0.008847823722291278,0.011474530068900552,0.021568738565946426,0.018410644645734598
GNN Correlation Only,leadership,1896,0.009019300405651588,0.011707652777283027,0.020674533165503984,0.01681115438686709
GNN Correlation Only,legal_regulatory,172,0.009825439266053471,0.012720064234396592,0.019644310697913125,0.017693263334302326
GNN Correlation Only,ma_ownership,522,0.010151943852754499,0.013751891204470843,0.023865568419468772,0.01830048965900383
GNN Correlation Only,market_industry,216,0.01220947285697948,0.01765045970571498,0.026372363135494518,0.018743895469907405
GNN Correlation Only,other,6694,0.008952680992303159,0.011954899512887187,0.02158694585607459,0.017751676490932178
GNN Correlation Only,project_contract,184,0.010656351085550153,0.015017019566709578,0.02210285137002554,0.01753347768206522
Linear Regression,capital_issuance,379,0.008480774343177976,0.011448264555753707,0.021437186387792614,0.019148874375989444
Linear Regression,debt_bond,700,0.007132372665830479,0.010087868881434321,0.019476589809970087,0.017945619322857143
Linear Regression,dividend,173,0.006963354971523877,0.009418261122641897,0.018287920546475645,0.01763981063583815
Linear Regression,earnings,633,0.008164718379618794,0.010212468168178498,0.021568738565946426,0.021934623745655607
Linear Regression,leadership,948,0.008165280583853301,0.010275152936756179,0.020674533165503984,0.01951491278259494
Linear Regression,legal_regulatory,86,0.009318196100459603,0.012078106684348822,0.019644310697913125,0.018250110503488372
Linear Regression,ma_ownership,261,0.009113040771450595,0.012182414517464293,0.02386556841946877,0.021079783275862067
Linear Regression,market_industry,108,0.010879170347334812,0.015727726764040807,0.026372363135494518,0.020129362722222224
Linear Regression,other,3347,0.008091246320193526,0.010582059392032264,0.021586945856074596,0.02027693270056767
Linear Regression,project_contract,92,0.009478335472395613,0.013376260024535706,0.022102851370025545,0.017722088368478262
Random Forest,capital_issuance,379,0.00864771385506093,0.011380067865596862,0.021437186387792614,0.019985741344327176
Random Forest,debt_bond,700,0.007156743286732619,0.009780622064609194,0.019476589809970087,0.01823421226
Random Forest,dividend,173,0.007273643040262815,0.009525874950746091,0.018287920546475645,0.01848891606705202
Random Forest,earnings,633,0.008180211713877452,0.010543385152705873,0.021568738565946426,0.02041121335971564
Random Forest,leadership,948,0.008022098231601455,0.01018822326895663,0.020674533165503984,0.019609071641244726
Random Forest,legal_regulatory,86,0.009145512578392807,0.011910546324582452,0.019644310697913125,0.01910115621744186
Random Forest,ma_ownership,261,0.009335405236877653,0.012285650234167448,0.02386556841946877,0.02153812007662835
Random Forest,market_industry,108,0.010549282025148054,0.014562074774036801,0.026372363135494518,0.021550163416666667
Random Forest,other,3347,0.008080432254662191,0.010533144560185196,0.021586945856074596,0.02033681652668061
Random Forest,project_contract,92,0.009341075816918391,0.01323226724175948,0.022102851370025545,0.018234673902173912
Rolling Volatility,capital_issuance,379,0.008972202780015998,0.011332364718797533,0.021437186387792614,0.02296996115672823
Rolling Volatility,debt_bond,700,0.00819704196422041,0.010897528634017273,0.019476589809970087,0.02174438856685714
Rolling Volatility,dividend,173,0.008209965793721827,0.010508586148530435,0.018287920546475645,0.02114545722716763
Rolling Volatility,earnings,633,0.008765223069125331,0.010996544840450363,0.021568738565946426,0.02317673751263823
Rolling Volatility,leadership,948,0.008668407623225056,0.010778952116198367,0.020674533165503984,0.022782913750210968
Rolling Volatility,legal_regulatory,86,0.00995835327526492,0.012550078859565722,0.019644310697913125,0.020567642930232558
Rolling Volatility,ma_ownership,261,0.009940917868185234,0.012484033010341032,0.02386556841946877,0.02557446913678161
Rolling Volatility,market_industry,108,0.01028728074152546,0.013806465239762233,0.026372363135494518,0.02533211752777778
Rolling Volatility,other,3347,0.008771557752837916,0.011117366163793132,0.021586945856074596,0.023549786084642962
Rolling Volatility,project_contract,92,0.009632091001498233,0.012539932583573258,0.022102851370025545,0.021020771171739134
